iteration,cost,wirecount,intersectioncount
888,3587973,14373,11912
889,2996795,12395,9948
890,3750201,14901,12451
891,3946459,15559,13103
892,3497069,14069,11610
893,3585561,14361,11904
894,3615357,14457,12003
895,3600909,14409,11955
896,3129247,12847,10388
897,3324587,13487,11037
898,3746903,14903,12440
899,3574131,14331,11866
900,3583755,14355,11898
901,2986273,12373,9913
902,4123151,16151,13690
903,4212547,16447,13987
904,3432349,13849,11395
905,3708373,14773,12312
906,3001013,12413,9962
907,3605733,14433,11971
908,3481415,14015,11558
909,2917027,12127,9683
910,2951651,12251,9798
911,2782181,11681,9235
912,3514831,14131,11669
913,3033219,12519,10069
914,2841783,11883,9433
915,3571421,14321,11857
916,4153855,16255,13792
917,3731249,14849,12388
918,3935329,15529,13066
919,2840879,11879,9430
920,3644253,14553,12099
921,3680983,14683,12221
922,4095165,16065,13597
923,3342359,13559,11096
924,4150845,16245,13782
925,3510609,14109,11655
926,3571415,14315,11857
927,3090395,12695,10259
928,3252349,13249,10797
929,3340851,13551,11091
930,3387201,13701,11245
931,3493445,14045,11598
932,3499171,14071,11617
933,3792053,15053,12590
934,4045195,15895,13431
935,3412191,13791,11328
936,2925441,12141,9711
937,3543121,14221,11763
938,3010951,12451,9995
939,4206231,16431,13966
940,3316471,13471,11010
941,3613551,14451,11997
942,4151149,16249,13783
943,3788745,15045,12579
944,4093055,16055,13590
945,3303827,13427,10968
946,3919377,15477,13013
947,3632819,14519,12061
948,3375465,13665,11206
949,3736363,14863,12405
950,3059413,12613,10156
951,2951653,12253,9798
952,3066937,12637,10181
953,3761647,14947,12489
954,4265221,16621,14162
955,2963683,12283,9838
956,3446499,13899,11442
957,4177337,16337,13870
958,3490145,14045,11587
959,3774287,14987,12531
960,3939847,15547,13081
961,3112385,12785,10332
962,3830583,15183,12718
963,3631921,14521,12058
964,3255061,13261,10806
965,3942857,15557,13091
966,3236399,13199,10744
967,3581053,14353,11889
968,3758641,14941,12479
969,3998241,15741,13275
970,3264991,13291,10839
971,4152353,16253,13787
972,3688501,14701,12246
973,3848635,15235,12778
974,3860083,15283,12816
975,3982287,15687,13222
976,3234899,13199,10739
977,3388409,13709,11249
978,3126233,12833,10378
979,3266203,13303,10843
980,4191785,16385,13918
981,3326995,13495,11045
982,4017505,15805,13339
983,4043087,15887,13424
984,3744193,14893,12431
985,3314963,13463,11005
986,3715293,14793,12335
987,3679177,14677,12215
988,3565391,14291,11837
989,3612655,14455,11994
990,2965197,12297,9843
991,3775499,14999,12535
992,3986501,15701,13236
993,3743595,14895,12429
994,3455227,13927,11471
995,3264675,13275,10838
996,3248441,13241,10784
997,4650203,17903,15441
998,3706565,14765,12306
999,3673459,14659,12196
1000,3145183,12883,10441
1001,3486537,14037,11575
1002,3702947,14747,12294
1003,3492857,14057,11596
1004,3863689,15289,12828
1005,3595203,14403,11936
1006,3648477,14577,12113
1007,3745099,14899,12434
1008,3537705,14205,11745
1009,3439579,13879,11419
1010,3616267,14467,12006
1011,3351675,13575,11127
1012,3499469,14069,11618
1013,3630113,14513,12052
1014,3589471,14371,11917
1015,3442291,13891,11428
1016,3092513,12713,10266
1017,3393521,13721,11266
1018,3015467,12467,10010
1019,3628611,14511,12047
1020,3651189,14589,12122
1021,3375769,13669,11207
1022,3488639,14039,11582
1023,3480217,14017,11554
1024,2985967,12367,9912
1025,4222179,16479,14019
1026,4016901,15801,13337
1027,4260409,16609,14146
1028,3617469,14469,12010
1029,3374855,13655,11204
1030,3941951,15551,13088
1031,3683391,14691,12229
1032,4126163,16163,13700
1033,3747501,14901,12442
1034,3269813,13313,10855
1035,3707773,14773,12310
1036,3634031,14531,12065
1037,3439265,13865,11418
1038,3655703,14603,12137
1039,3460049,13949,11487
1040,3712891,14791,12327
1041,3277335,13335,10880
1042,3698743,14743,12280
1043,3274923,13323,10872
1044,3283963,13363,10902
1045,3472087,13987,11527
1046,3226455,13155,10711
1047,3404355,13755,11302
1048,3241523,13223,10761
1049,3665631,14631,12170
1050,3193057,13057,10600
1051,4463287,17287,14820
1052,3851355,15255,12787
1053,2867361,11961,9518
1054,3295399,13399,10940
1055,3441681,13881,11426
1056,3516935,14135,11676
1057,4060847,15947,13483
1058,3802291,15091,12624
1059,4050013,15913,13447
1060,3821547,15147,12688
1061,4081313,16013,13551
1062,3617173,14473,12009
1063,3161147,12947,10494
1064,3613553,14453,11997
1065,3863689,15289,12828
1066,3687903,14703,12244
1067,3598809,14409,11948
1068,3753223,14923,12461
1069,3740883,14883,12420
1070,3662915,14615,12161
1071,3962111,15611,13155
1072,3745701,14901,12436
1073,3596393,14393,11940
1074,2781269,11669,9232
1075,3616869,14469,12008
1076,3970547,15647,13183
1077,3457039,13939,11477
1078,4026835,15835,13370
1079,3792651,15051,12592
1080,2598269,11069,8624
1081,3190339,13039,10591
1082,3779705,15005,12549
1083,3956381,15581,13136
1084,3393209,13709,11265
1085,3880851,15351,12885
1086,2827937,11837,9387
1087,3733961,14861,12397
1088,3245131,13231,10773
1089,4288105,16705,14238
1090,4058139,15939,13474
1091,2808365,11765,9322
1092,3434457,13857,11402
1093,3617777,14477,12011
1094,3359201,13601,11152
1095,3485631,14031,11572
1096,3984697,15697,13230
1097,3804393,15093,12631
1098,3521153,14153,11690
1099,3714993,14793,12334
1100,4649295,17895,15438
1101,3752917,14917,12460
1102,3060611,12611,10160
1103,3508507,14107,11648
1104,4393755,17055,14589
1105,3223753,13153,10702
1106,3605725,14425,11971
1107,3140085,12885,10424
1108,4266735,16635,14167
1109,3258367,13267,10817
1110,3160545,12945,10492
1111,4045195,15895,13431
1112,3965717,15617,13167
1113,4244461,16561,14093
1114,2959175,12275,9823
1115,3683083,14683,12228
1116,3104249,12749,10305
1117,3220449,13149,10691
1118,3401657,13757,11293
1119,3498277,14077,11614
1120,3507907,14107,11646
1121,3650879,14579,12121
1122,3294197,13397,10936
1123,3249623,13223,10788
1124,3604827,14427,11968
1125,3302625,13425,10964
1126,3500073,14073,11620
1127,3613559,14459,11997
1128,3560881,14281,11822
1129,3391121,13721,11258
1130,3861585,15285,12821
1131,3311917,13417,10995
1132,3322487,13487,11030
1133,3984093,15693,13228
1134,3333317,13517,11066
1135,3747805,14905,12443
1136,3337843,13543,11081
1137,3757433,14933,12475
1138,3460947,13947,11490
1139,3371855,13655,11194
1140,4143319,16219,13757
1141,3855567,15267,12801
1142,4149037,16237,13776
1143,3840213,15213,12750
1144,4071985,15985,13520
